Etiqueta,Gold,R (n),R-P,R-R,R-F1,G (n),G-P,G-R,G-F1
<sp>,32,30,1.000,0.938,0.968,32,1.000,1.000,1.000
<speaker>,32,30,1.000,0.938,0.968,32,1.000,1.000,1.000
<p>,35,31,1.000,0.886,0.939,33,1.000,0.943,0.971
<stage>,42,40,1.000,0.952,0.976,36,1.000,0.857,0.923
<persName>,15,12,1.000,0.800,0.889,16,0.938,1.000,0.968
<person>,13,11,1.000,0.846,0.917,14,0.929,1.000,0.963
<div>,4,3,1.000,0.750,0.857,3,1.000,0.750,0.857
<head>,3,3,1.000,1.000,1.000,3,1.000,1.000,1.000
Macro,—,—,1.000,0.889,0.939,—,0.983,0.944,0.960
