Etiqueta,Gold,R (n),R-P,R-R,R-F1,G (n),G-P,G-R,G-F1
<sp>,768,479,1.000,0.624,0.768,763,1.000,0.993,0.997
<speaker>,768,479,1.000,0.624,0.768,763,1.000,0.993,0.997
<p>,768,499,1.000,0.650,0.788,763,1.000,0.993,0.997
<stage>,522,396,1.000,0.759,0.863,503,1.000,0.964,0.981
<persName>,22,22,1.000,1.000,1.000,14,1.000,0.636,0.778
<person>,22,21,1.000,1.000,1.000,13,1.000,0.619,0.765
<div>,21,4,0.750,1.000,0.857,6,0.500,1.000,0.667
<head>,3,4,0.750,1.000,0.857,6,0.500,1.000,0.667
Macro,---,---,0.938,0.832,0.863,6,0.875,0.900,0.856
