Obra,Gold,RegEx (n),RegEx F1,Gemma (n),Gemma F1,Ganador
Alma Filipina,640,624,0.928,642,0.984,Gemma
Brumas y voces,2082,1592,0.863,2059,0.856,RegEx
El consejo de los dioses,176,160,0.939,169,0.960,Gemma
Filipinas auto-histórico,562,392,0.050,556,0.876,Gemma
Filipinizad a los filipinos,1467,1460,0.749,1943,0.587,RegEx
Solo entre las sombras,965,770,0.793,949,0.969,Gemma
La mejor ofrenda,265,1,0.154,266,0.592,Gemma
José Carpintero,278,268,0.529,279,0.639,Gemma
Fortalezas,311,273,0.362,311,0.902,Gemma
