Título,Autoría,Año,Editorial,Ubicación,Enlace
El consejo de los dioses,José Rizal; arreglada en forma teatral por Lope Blas Hucapte,1880,"Imprenta y taller de encuadernación del Día Filipino, Manila",Project Gutenberg,https://www.gutenberg.org/ebooks/14796
José el Carpintero,Juan Zulueta de los Ángeles,1880,"Imprenta de la Oceanía Española, Metro Manila",Biblioteca Nacional de Filipinas,https://nlpdl.nlp.gov.ph/JB02/1880/NLPJBBK31021f/bs/datejpg.htm
Alma filipina,Severino Reyes,1911,"Imprenta Librería y Papelería de I. R. Morales, Manila","Main Library of the University of the Philippines, Diliman Campus, Quezon City / Biblioteca Virtual Miguel de Cervantes",https://www.cervantesvirtual.com/nd/ark:/59851/bmc4n0x9
La mejor ofrenda,Rosa Sevilla de Alvero,1917,"Imprenta Sevilla, Metro Manila",National Library of Australia,—
Fortalezas,Adelina Gurrea,1936,Obra mecanografiada inédita,Biblioteca Virtual Miguel de Cervantes,https://www.cervantesvirtual.com/nd/ark:/59851/bmcsr0t7
Brumas y voces,Adelina Gurrea,1952,Obra mecanografiada inédita,Biblioteca Virtual Miguel de Cervantes,https://www.cervantesvirtual.com/nd/ark:/59851/bmc059h1
Filipinas. Auto histórico sacramental,Adelina Gurrea,1954,"Imprenta Agustiniana, Valladolid",Biblioteca Virtual Miguel de Cervantes,http://www.cervantesvirtual.com/nd/ark:/59851/bmcrn560
Filipinizad a los filipinos,Jesús Balmori,1940,Obra mecanografiada inédita,National Library of the Philippines/ Biblioteca Virtual Miguel de Cervantes,https://www.cervantesvirtual.com/nd/ark:/59851/bmc69901
Solo entre las sombras,Claro M. Recto,1917,Obra mecanografiada inédita,Biblioteca de filipiniana del Instituto Cervantes de Manila/ Biblioteca Virtual Miguel de Cervantes,https://www.cervantesvirtual.com/nd/ark:/59851/bmc5t5c4
